id,instance,goal,result,duration,correct_result,verdict,steps_obtained
121,exp_acyclic_depvary_step1_batch_yyy03.pl,u4,no,0.06,no,corr,0.0
122,exp_acyclic_depvary_step1_batch_yyy03.pl,b1,no,0.06,no,corr,1.0
123,exp_acyclic_depvary_step1_batch_yyy03.pl,x2,no,0.07,no,corr,0.0
124,exp_acyclic_depvary_step1_batch_yyy03.pl,r5,no,0.06,no,corr,0.0
125,exp_acyclic_depvary_step1_batch_yyy03.pl,x4,no,0.06,no,corr,0.0
126,exp_acyclic_depvary_step1_batch_yyy03.pl,q2,no,0.06,no,corr,0.0
127,exp_acyclic_depvary_step1_batch_yyy03.pl,c6,no,0.08,no,corr,0.0
128,exp_acyclic_depvary_step1_batch_yyy03.pl,z2,no,0.07,no,corr,0.0
129,exp_acyclic_depvary_step1_batch_yyy03.pl,v4,no,0.07,no,corr,0.0
130,exp_acyclic_depvary_step1_batch_yyy03.pl,e3,no,0.06,no,corr,0.0
131,exp_acyclic_depvary_step1_batch_yyy04.pl,u4,no,0.07,no,corr,0.0
132,exp_acyclic_depvary_step1_batch_yyy04.pl,p3,no,0.06,no,corr,0.0
133,exp_acyclic_depvary_step1_batch_yyy04.pl,v4,no,0.07,no,corr,0.0
134,exp_acyclic_depvary_step1_batch_yyy04.pl,r1,yes,0.08,yes,corr,2.0
135,exp_acyclic_depvary_step1_batch_yyy04.pl,a3,no,0.06,no,corr,0.0
136,exp_acyclic_depvary_step1_batch_yyy04.pl,p1,yes,0.07,yes,corr,1.0
137,exp_acyclic_depvary_step1_batch_yyy04.pl,p5,no,0.06,no,corr,0.0
138,exp_acyclic_depvary_step1_batch_yyy04.pl,x3,no,0.06,no,corr,0.0
139,exp_acyclic_depvary_step1_batch_yyy04.pl,r2,no,0.06,no,corr,0.0
140,exp_acyclic_depvary_step1_batch_yyy04.pl,b6,no,0.06,no,corr,0.0
141,exp_acyclic_depvary_step1_batch_yyy05.pl,v2,no,0.06,no,corr,0.0
142,exp_acyclic_depvary_step1_batch_yyy05.pl,x3,no,0.06,no,corr,0.0
143,exp_acyclic_depvary_step1_batch_yyy05.pl,f1,no,0.07,no,corr,1.0
144,exp_acyclic_depvary_step1_batch_yyy05.pl,q5,no,0.06,no,corr,0.0
145,exp_acyclic_depvary_step1_batch_yyy05.pl,w4,no,0.06,no,corr,0.0
146,exp_acyclic_depvary_step1_batch_yyy05.pl,x5,no,0.06,no,corr,0.0
147,exp_acyclic_depvary_step1_batch_yyy05.pl,y2,no,0.07,no,corr,0.0
148,exp_acyclic_depvary_step1_batch_yyy05.pl,q2,no,0.06,no,corr,0.0
149,exp_acyclic_depvary_step1_batch_yyy05.pl,v4,no,0.06,no,corr,0.0
150,exp_acyclic_depvary_step1_batch_yyy05.pl,e3,no,0.06,no,corr,0.0
151,exp_acyclic_depvary_step1_batch_yyy06.pl,b2,no,0.06,no,corr,0.0
152,exp_acyclic_depvary_step1_batch_yyy06.pl,w5,no,0.06,no,corr,0.0
153,exp_acyclic_depvary_step1_batch_yyy06.pl,s5,no,0.06,no,corr,0.0
154,exp_acyclic_depvary_step1_batch_yyy06.pl,q4,no,0.07,no,corr,0.0
155,exp_acyclic_depvary_step1_batch_yyy06.pl,w4,no,0.06,no,corr,0.0
156,exp_acyclic_depvary_step1_batch_yyy06.pl,r4,no,0.07,no,corr,0.0
157,exp_acyclic_depvary_step1_batch_yyy06.pl,b6,no,0.06,no,corr,0.0
158,exp_acyclic_depvary_step1_batch_yyy06.pl,d1,yes,0.06,yes,corr,0.0
159,exp_acyclic_depvary_step1_batch_yyy06.pl,z1,no,0.06,no,corr,0.0
160,exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,0.06,yes,corr,0.0
161,exp_acyclic_depvary_step1_batch_yyy07.pl,c4,no,0.06,no,corr,0.0
162,exp_acyclic_depvary_step1_batch_yyy07.pl,v5,no,0.06,no,corr,0.0
163,exp_acyclic_depvary_step1_batch_yyy07.pl,z4,no,0.06,no,corr,0.0
164,exp_acyclic_depvary_step1_batch_yyy07.pl,s1,yes,0.06,yes,corr,1.0
165,exp_acyclic_depvary_step1_batch_yyy07.pl,q1,yes,0.08,yes,corr,2.0
166,exp_acyclic_depvary_step1_batch_yyy07.pl,x4,no,0.06,no,corr,0.0
167,exp_acyclic_depvary_step1_batch_yyy07.pl,f1,no,0.07,no,corr,1.0
168,exp_acyclic_depvary_step1_batch_yyy07.pl,e5,no,0.06,no,corr,0.0
169,exp_acyclic_depvary_step1_batch_yyy07.pl,t2,no,0.06,no,corr,0.0
170,exp_acyclic_depvary_step1_batch_yyy07.pl,z2,no,0.06,no,corr,0.0
171,exp_acyclic_depvary_step1_batch_yyy08.pl,t5,no,0.06,no,corr,0.0
172,exp_acyclic_depvary_step1_batch_yyy08.pl,y4,no,0.06,no,corr,0.0
173,exp_acyclic_depvary_step1_batch_yyy08.pl,w2,no,0.06,no,corr,0.0
174,exp_acyclic_depvary_step1_batch_yyy08.pl,f5,no,0.06,no,corr,0.0
175,exp_acyclic_depvary_step1_batch_yyy08.pl,e3,no,0.06,no,corr,0.0
176,exp_acyclic_depvary_step1_batch_yyy08.pl,d2,no,0.06,no,corr,0.0
177,exp_acyclic_depvary_step1_batch_yyy08.pl,v3,no,0.06,no,corr,0.0
178,exp_acyclic_depvary_step1_batch_yyy08.pl,f2,no,0.06,no,corr,0.0
179,exp_acyclic_depvary_step1_batch_yyy08.pl,f4,no,0.06,no,corr,0.0
180,exp_acyclic_depvary_step1_batch_yyy08.pl,a3,no,0.06,no,corr,0.0
181,exp_acyclic_depvary_step1_batch_yyy09.pl,t4,no,0.06,no,corr,0.0
182,exp_acyclic_depvary_step1_batch_yyy09.pl,b3,no,0.06,no,corr,0.0
183,exp_acyclic_depvary_step1_batch_yyy09.pl,d3,no,0.06,no,corr,0.0
184,exp_acyclic_depvary_step1_batch_yyy09.pl,x5,no,0.07,no,corr,0.0
185,exp_acyclic_depvary_step1_batch_yyy09.pl,r1,yes,0.07,yes,corr,1.0
186,exp_acyclic_depvary_step1_batch_yyy09.pl,q3,no,0.06,no,corr,0.0
187,exp_acyclic_depvary_step1_batch_yyy09.pl,e3,no,0.06,no,corr,0.0
188,exp_acyclic_depvary_step1_batch_yyy09.pl,r4,no,0.08,no,corr,0.0
189,exp_acyclic_depvary_step1_batch_yyy09.pl,e2,no,0.07,no,corr,0.0
190,exp_acyclic_depvary_step1_batch_yyy09.pl,r3,no,0.06,no,corr,0.0
191,exp_acyclic_depvary_step1_batch_yyy10.pl,c4,no,0.06,no,corr,0.0
192,exp_acyclic_depvary_step1_batch_yyy10.pl,d4,no,0.06,no,corr,0.0
193,exp_acyclic_depvary_step1_batch_yyy10.pl,b1,yes,0.09,yes,corr,2.0
194,exp_acyclic_depvary_step1_batch_yyy10.pl,a4,no,0.06,no,corr,0.0
195,exp_acyclic_depvary_step1_batch_yyy10.pl,y3,no,0.06,no,corr,0.0
196,exp_acyclic_depvary_step1_batch_yyy10.pl,e3,no,0.06,no,corr,0.0
197,exp_acyclic_depvary_step1_batch_yyy10.pl,r3,no,0.06,no,corr,0.0
198,exp_acyclic_depvary_step1_batch_yyy10.pl,f2,no,0.06,no,corr,0.0
199,exp_acyclic_depvary_step1_batch_yyy10.pl,q3,no,0.06,no,corr,0.0
200,exp_acyclic_depvary_step1_batch_yyy10.pl,y2,no,0.06,no,corr,0.0
201,exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,0.04,no,corr,2.0
202,exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,0.06,yes,corr,0.0
203,exp_acyclic_depvary_step2_batch_yyy01.pl,e5,no,0.06,no,corr,0.0
204,exp_acyclic_depvary_step2_batch_yyy01.pl,c5,no,0.06,no,corr,0.0
205,exp_acyclic_depvary_step2_batch_yyy01.pl,z4,no,0.06,no,corr,0.0
206,exp_acyclic_depvary_step2_batch_yyy01.pl,c1,no,0.07,no,corr,1.0
207,exp_acyclic_depvary_step2_batch_yyy01.pl,p1,no,0.07,no,corr,2.0
208,exp_acyclic_depvary_step2_batch_yyy01.pl,y5,no,0.06,no,corr,0.0
209,exp_acyclic_depvary_step2_batch_yyy01.pl,a6,no,0.06,no,corr,0.0
210,exp_acyclic_depvary_step2_batch_yyy01.pl,s4,no,0.06,no,corr,0.0
211,exp_acyclic_depvary_step2_batch_yyy02.pl,z5,no,0.06,no,corr,0.0
212,exp_acyclic_depvary_step2_batch_yyy02.pl,e5,no,0.06,no,corr,0.0
213,exp_acyclic_depvary_step2_batch_yyy02.pl,s5,no,0.06,no,corr,0.0
214,exp_acyclic_depvary_step2_batch_yyy02.pl,p2,yes,0.06,yes,corr,1.0
215,exp_acyclic_depvary_step2_batch_yyy02.pl,a1,no,0.07,no,corr,1.0
216,exp_acyclic_depvary_step2_batch_yyy02.pl,q2,no,0.08,no,corr,3.0
217,exp_acyclic_depvary_step2_batch_yyy02.pl,d3,no,0.06,no,corr,0.0
218,exp_acyclic_depvary_step2_batch_yyy02.pl,u4,no,0.06,no,corr,0.0
219,exp_acyclic_depvary_step2_batch_yyy02.pl,w1,no,0.06,no,corr,0.0
220,exp_acyclic_depvary_step2_batch_yyy02.pl,p3,no,0.06,no,corr,0.0
221,exp_acyclic_depvary_step2_batch_yyy03.pl,d5,no,0.06,no,corr,0.0
222,exp_acyclic_depvary_step2_batch_yyy03.pl,p5,no,0.06,no,corr,0.0
223,exp_acyclic_depvary_step2_batch_yyy03.pl,v5,no,0.06,no,corr,0.0
224,exp_acyclic_depvary_step2_batch_yyy03.pl,f5,no,0.06,no,corr,0.0
225,exp_acyclic_depvary_step2_batch_yyy03.pl,p3,no,0.06,no,corr,0.0
226,exp_acyclic_depvary_step2_batch_yyy03.pl,u3,no,0.06,no,corr,0.0
227,exp_acyclic_depvary_step2_batch_yyy03.pl,y2,no,0.06,no,corr,0.0
228,exp_acyclic_depvary_step2_batch_yyy03.pl,d1,yes,0.06,yes,corr,0.0
229,exp_acyclic_depvary_step2_batch_yyy03.pl,y3,no,0.06,no,corr,0.0
230,exp_acyclic_depvary_step2_batch_yyy03.pl,r5,no,0.07,no,corr,0.0
231,exp_acyclic_depvary_step2_batch_yyy04.pl,e1,no,0.09,no,corr,4.0
232,exp_acyclic_depvary_step2_batch_yyy04.pl,f1,yes,0.07,yes,corr,1.0
233,exp_acyclic_depvary_step2_batch_yyy04.pl,v5,no,0.06,no,corr,0.0
234,exp_acyclic_depvary_step2_batch_yyy04.pl,q5,no,0.06,no,corr,0.0
235,exp_acyclic_depvary_step2_batch_yyy04.pl,v1,yes,0.07,yes,corr,1.0
236,exp_acyclic_depvary_step2_batch_yyy04.pl,c6,no,0.06,no,corr,0.0
237,exp_acyclic_depvary_step2_batch_yyy04.pl,a6,no,0.06,no,corr,0.0
238,exp_acyclic_depvary_step2_batch_yyy04.pl,y4,no,0.06,no,corr,0.0
239,exp_acyclic_depvary_step2_batch_yyy04.pl,e2,no,0.06,no,corr,0.0
240,exp_acyclic_depvary_step2_batch_yyy04.pl,u2,no,0.06,no,corr,0.0
241,exp_acyclic_depvary_step2_batch_yyy05.pl,b2,no,0.07,no,corr,1.0
242,exp_acyclic_depvary_step2_batch_yyy05.pl,y4,no,0.07,no,corr,0.0
243,exp_acyclic_depvary_step2_batch_yyy05.pl,e1,yes,0.06,yes,corr,1.0
244,exp_acyclic_depvary_step2_batch_yyy05.pl,f1,yes,0.08,yes,corr,1.0
245,exp_acyclic_depvary_step2_batch_yyy05.pl,w5,no,0.06,no,corr,0.0
246,exp_acyclic_depvary_step2_batch_yyy05.pl,q4,no,0.06,no,corr,0.0
247,exp_acyclic_depvary_step2_batch_yyy05.pl,y3,no,0.06,no,corr,0.0
248,exp_acyclic_depvary_step2_batch_yyy05.pl,f4,no,0.06,no,corr,0.0
249,exp_acyclic_depvary_step2_batch_yyy05.pl,z1,yes,0.08,yes,corr,3.0
250,exp_acyclic_depvary_step2_batch_yyy05.pl,b1,yes,0.06,yes,corr,0.0
251,exp_acyclic_depvary_step2_batch_yyy06.pl,c3,no,0.06,no,corr,0.0
252,exp_acyclic_depvary_step2_batch_yyy06.pl,u1,yes,0.06,yes,corr,1.0
253,exp_acyclic_depvary_step2_batch_yyy06.pl,d3,no,0.06,no,corr,0.0
254,exp_acyclic_depvary_step2_batch_yyy06.pl,q4,no,0.08,no,corr,0.0
255,exp_acyclic_depvary_step2_batch_yyy06.pl,x2,no,0.06,no,corr,0.0
256,exp_acyclic_depvary_step2_batch_yyy06.pl,x5,no,0.06,no,corr,0.0
257,exp_acyclic_depvary_step2_batch_yyy06.pl,a1,yes,0.06,yes,corr,0.0
258,exp_acyclic_depvary_step2_batch_yyy06.pl,x4,no,0.07,no,corr,0.0
259,exp_acyclic_depvary_step2_batch_yyy06.pl,p5,no,0.07,no,corr,0.0
