id,instance,goal,result,duration,correct_result,verdict,steps_obtained
116,exp_acyclic_depvary_step1_batch_yyy02.pl,c6,no,0.08,no,corr,0
117,exp_acyclic_depvary_step1_batch_yyy02.pl,d2,no,0.06,no,corr,0
118,exp_acyclic_depvary_step1_batch_yyy02.pl,y2,no,0.04,no,corr,0
119,exp_acyclic_depvary_step1_batch_yyy02.pl,e2,no,0.06,no,corr,0
120,exp_acyclic_depvary_step1_batch_yyy02.pl,q2,no,0.05,no,corr,0
121,exp_acyclic_depvary_step1_batch_yyy03.pl,u4,no,0.05,no,corr,0
122,exp_acyclic_depvary_step1_batch_yyy03.pl,b1,no,0.17,no,corr,7
123,exp_acyclic_depvary_step1_batch_yyy03.pl,x2,no,0.08,no,corr,0
124,exp_acyclic_depvary_step1_batch_yyy03.pl,r5,no,0.05,no,corr,0
125,exp_acyclic_depvary_step1_batch_yyy03.pl,x4,no,0.04,no,corr,0
126,exp_acyclic_depvary_step1_batch_yyy03.pl,q2,no,0.06,no,corr,0
127,exp_acyclic_depvary_step1_batch_yyy03.pl,c6,no,0.04,no,corr,0
128,exp_acyclic_depvary_step1_batch_yyy03.pl,z2,no,0.06,no,corr,0
129,exp_acyclic_depvary_step1_batch_yyy03.pl,v4,no,0.05,no,corr,0
130,exp_acyclic_depvary_step1_batch_yyy03.pl,e3,no,0.04,no,corr,0
131,exp_acyclic_depvary_step1_batch_yyy04.pl,u4,no,0.07,no,corr,0
132,exp_acyclic_depvary_step1_batch_yyy04.pl,p3,no,0.04,no,corr,0
133,exp_acyclic_depvary_step1_batch_yyy04.pl,v4,no,0.04,no,corr,0
134,exp_acyclic_depvary_step1_batch_yyy04.pl,r1,yes,0.2,yes,corr,7
135,exp_acyclic_depvary_step1_batch_yyy04.pl,a3,no,0.06,no,corr,0
136,exp_acyclic_depvary_step1_batch_yyy04.pl,p1,yes,0.08,yes,corr,1
137,exp_acyclic_depvary_step1_batch_yyy04.pl,p5,no,0.06,no,corr,0
138,exp_acyclic_depvary_step1_batch_yyy04.pl,x3,no,0.06,no,corr,0
139,exp_acyclic_depvary_step1_batch_yyy04.pl,r2,no,0.06,no,corr,0
140,exp_acyclic_depvary_step1_batch_yyy04.pl,b6,no,0.06,no,corr,0
141,exp_acyclic_depvary_step1_batch_yyy05.pl,v2,no,0.05,no,corr,0
142,exp_acyclic_depvary_step1_batch_yyy05.pl,x3,no,0.06,no,corr,0
143,exp_acyclic_depvary_step1_batch_yyy05.pl,f1,no,0.15,no,corr,5
144,exp_acyclic_depvary_step1_batch_yyy05.pl,q5,no,0.05,no,corr,0
145,exp_acyclic_depvary_step1_batch_yyy05.pl,w4,no,0.04,no,corr,0
146,exp_acyclic_depvary_step1_batch_yyy05.pl,x5,no,0.04,no,corr,0
147,exp_acyclic_depvary_step1_batch_yyy05.pl,y2,no,0.05,no,corr,0
148,exp_acyclic_depvary_step1_batch_yyy05.pl,q2,no,0.06,no,corr,0
149,exp_acyclic_depvary_step1_batch_yyy05.pl,v4,no,0.06,no,corr,0
150,exp_acyclic_depvary_step1_batch_yyy05.pl,e3,no,0.05,no,corr,0
151,exp_acyclic_depvary_step1_batch_yyy06.pl,b2,no,0.06,no,corr,0
152,exp_acyclic_depvary_step1_batch_yyy06.pl,w5,no,0.06,no,corr,0
153,exp_acyclic_depvary_step1_batch_yyy06.pl,s5,no,0.06,no,corr,0
154,exp_acyclic_depvary_step1_batch_yyy06.pl,q4,no,0.06,no,corr,0
155,exp_acyclic_depvary_step1_batch_yyy06.pl,w4,no,0.06,no,corr,0
156,exp_acyclic_depvary_step1_batch_yyy06.pl,r4,no,0.06,no,corr,0
157,exp_acyclic_depvary_step1_batch_yyy06.pl,b6,no,0.06,no,corr,0
158,exp_acyclic_depvary_step1_batch_yyy06.pl,d1,yes,0.07,yes,corr,0
159,exp_acyclic_depvary_step1_batch_yyy06.pl,z1,no,0.05,no,corr,0
160,exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,0.08,yes,corr,0
161,exp_acyclic_depvary_step1_batch_yyy07.pl,c4,no,0.1,no,corr,0
162,exp_acyclic_depvary_step1_batch_yyy07.pl,v5,no,0.06,no,corr,0
163,exp_acyclic_depvary_step1_batch_yyy07.pl,z4,no,0.04,no,corr,0
164,exp_acyclic_depvary_step1_batch_yyy07.pl,s1,yes,0.05,yes,corr,1
165,exp_acyclic_depvary_step1_batch_yyy07.pl,q1,yes,0.07,yes,corr,2
166,exp_acyclic_depvary_step1_batch_yyy07.pl,x4,no,0.05,no,corr,0
167,exp_acyclic_depvary_step1_batch_yyy07.pl,f1,no,0.27,no,corr,8
168,exp_acyclic_depvary_step1_batch_yyy07.pl,e5,no,0.06,no,corr,0
169,exp_acyclic_depvary_step1_batch_yyy07.pl,t2,no,0.04,no,corr,0
