instance,goal,result,duration,correct_result,verdict,steps_obtained
exp_acyclic_depvary_step1_batch_yyy01.pl,s4,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,d3,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,q5,no,1.09,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,z4,no,1.03,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,s1,yes,1.22,yes,corr,7
exp_acyclic_depvary_step1_batch_yyy01.pl,z3,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,u2,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,c5,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy01.pl,b1,no,1.17,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,y4,no,1.03,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,z5,no,1.05,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,x3,no,1.03,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,q4,no,1.05,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,x2,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,c6,no,1.08,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,d2,no,1.14,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,y2,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,e2,no,1.01,no,corr,
exp_acyclic_depvary_step1_batch_yyy02.pl,q2,no,1.1,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,u4,no,1.72,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,b1,no,1.12,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,x2,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,r5,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,x4,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,q2,no,1.07,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,c6,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,z2,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,v4,no,1.03,no,corr,
exp_acyclic_depvary_step1_batch_yyy03.pl,e3,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,u4,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,p3,no,1.08,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,v4,no,1.13,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,r1,yes,1.16,yes,corr,7
exp_acyclic_depvary_step1_batch_yyy04.pl,a3,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,p1,yes,1.21,yes,corr,4
exp_acyclic_depvary_step1_batch_yyy04.pl,p5,no,1.01,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,x3,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,r2,no,1.01,no,corr,
exp_acyclic_depvary_step1_batch_yyy04.pl,b6,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,v2,no,1.15,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,x3,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,f1,no,1.11,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,q5,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,w4,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,x5,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,y2,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,q2,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,v4,no,1.11,no,corr,
exp_acyclic_depvary_step1_batch_yyy05.pl,e3,no,1.07,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,b2,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,w5,no,1.07,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,s5,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,q4,no,1.01,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,w4,no,1.0,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,r4,no,1.03,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,b6,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,d1,yes,1.04,yes,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,z1,no,1.05,no,corr,
exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,1.09,yes,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,c4,no,1.99,no,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,v5,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,z4,no,1.03,no,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,s1,yes,1.18,yes,corr,5
exp_acyclic_depvary_step1_batch_yyy07.pl,q1,yes,1.15,yes,corr,3
exp_acyclic_depvary_step1_batch_yyy07.pl,x4,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,f1,no,1.21,no,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,e5,no,1.11,no,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,t2,no,1.07,no,corr,
exp_acyclic_depvary_step1_batch_yyy07.pl,z2,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,t5,no,1.11,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,y4,no,1.05,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,w2,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,f5,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,e3,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,d2,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,v3,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,f2,no,1.07,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,f4,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy08.pl,a3,no,1.05,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,t4,no,1.08,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,b3,no,1.05,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,d3,no,1.04,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,x5,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,r1,yes,1.22,yes,corr,3
exp_acyclic_depvary_step1_batch_yyy09.pl,q3,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,e3,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,r4,no,1.07,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,e2,no,1.01,no,corr,
exp_acyclic_depvary_step1_batch_yyy09.pl,r3,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,c4,no,1.47,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,d4,no,1.03,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,b1,yes,1.19,yes,corr,3
exp_acyclic_depvary_step1_batch_yyy10.pl,a4,no,1.02,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,y3,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,e3,no,1.05,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,r3,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,f2,no,1.01,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,q3,no,1.06,no,corr,
exp_acyclic_depvary_step1_batch_yyy10.pl,y2,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,1.29,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,1.18,yes,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,e5,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,c5,no,1.03,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,z4,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,c1,no,1.31,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,p1,no,1.16,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,y5,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,a6,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy01.pl,s4,no,1.03,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,z5,no,1.05,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,e5,no,1.05,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,s5,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,p2,yes,1.2,yes,corr,2
exp_acyclic_depvary_step2_batch_yyy02.pl,a1,no,1.21,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,q2,no,1.18,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,d3,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,u4,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,w1,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy02.pl,p3,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,d5,no,2.32,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,p5,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,v5,no,1.12,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,f5,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,p3,no,1.05,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,u3,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,y2,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,d1,yes,1.06,yes,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,y3,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy03.pl,r5,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,e1,no,1.32,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,f1,yes,1.21,yes,corr,8
exp_acyclic_depvary_step2_batch_yyy04.pl,v5,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,q5,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,v1,yes,1.25,yes,corr,4
exp_acyclic_depvary_step2_batch_yyy04.pl,c6,no,1.15,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,a6,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,y4,no,1.03,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,e2,no,1.14,no,corr,
exp_acyclic_depvary_step2_batch_yyy04.pl,u2,no,1.03,no,corr,
exp_acyclic_depvary_step2_batch_yyy05.pl,b2,no,1.2,no,corr,
exp_acyclic_depvary_step2_batch_yyy05.pl,y4,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy05.pl,e1,yes,1.19,yes,corr,2
exp_acyclic_depvary_step2_batch_yyy05.pl,f1,yes,1.16,yes,corr,3
exp_acyclic_depvary_step2_batch_yyy05.pl,w5,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy05.pl,q4,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy05.pl,y3,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy05.pl,f4,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy05.pl,z1,yes,1.23,yes,corr,5
exp_acyclic_depvary_step2_batch_yyy05.pl,b1,yes,1.06,yes,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,c3,no,1.21,no,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,u1,yes,1.26,yes,corr,1
exp_acyclic_depvary_step2_batch_yyy06.pl,d3,no,1.03,no,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,q4,no,1.1,no,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,x2,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,x5,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,a1,yes,1.04,yes,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,x4,no,1.05,no,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,p5,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy06.pl,x3,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,d5,no,1.14,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,f1,yes,1.27,yes,corr,10
exp_acyclic_depvary_step2_batch_yyy07.pl,w5,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,y3,no,1.1,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,x1,yes,1.19,yes,corr,1
exp_acyclic_depvary_step2_batch_yyy07.pl,f2,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,c5,no,1.1,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,a5,no,1.15,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,d1,no,1.16,no,corr,
exp_acyclic_depvary_step2_batch_yyy07.pl,t1,yes,1.33,yes,corr,10
exp_acyclic_depvary_step2_batch_yyy08.pl,s3,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,x3,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,s5,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,p3,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,d2,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,z3,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,y2,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,c6,no,1.08,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,z2,no,1.05,no,corr,
exp_acyclic_depvary_step2_batch_yyy08.pl,b5,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,u5,no,3.03,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,t4,no,1.14,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,b2,no,1.24,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,b3,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,p4,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,b4,no,1.05,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,z1,no,1.05,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,w4,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,d1,yes,1.09,yes,corr,
exp_acyclic_depvary_step2_batch_yyy09.pl,x4,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,u5,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,d4,no,1.04,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,t3,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,v4,no,1.06,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,f4,no,1.07,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,r2,yes,1.24,yes,corr,7
exp_acyclic_depvary_step2_batch_yyy10.pl,v2,no,1.09,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,e1,no,1.33,no,corr,
exp_acyclic_depvary_step2_batch_yyy10.pl,s1,yes,1.18,yes,corr,3
exp_acyclic_depvary_step2_batch_yyy10.pl,d2,no,1.11,no,corr,
exp_acyclic_depvary_step3_batch_yyy01.pl,u1,yes,1.23,yes,corr,1
exp_acyclic_depvary_step3_batch_yyy01.pl,c2,no,1.3,no,corr,
exp_acyclic_depvary_step3_batch_yyy01.pl,a4,no,1.11,no,corr,
exp_acyclic_depvary_step3_batch_yyy01.pl,y1,yes,1.47,yes,corr,9
exp_acyclic_depvary_step3_batch_yyy01.pl,q1,yes,1.27,yes,corr,5
exp_acyclic_depvary_step3_batch_yyy01.pl,a2,no,1.34,no,corr,
exp_acyclic_depvary_step3_batch_yyy01.pl,s5,no,1.13,no,corr,
exp_acyclic_depvary_step3_batch_yyy01.pl,b4,no,1.09,no,corr,
exp_acyclic_depvary_step3_batch_yyy01.pl,z3,no,1.13,no,corr,
exp_acyclic_depvary_step3_batch_yyy01.pl,a3,no,1.14,no,corr,
exp_acyclic_depvary_step3_batch_yyy02.pl,d5,no,1.2,no,corr,
exp_acyclic_depvary_step3_batch_yyy02.pl,z5,no,1.21,no,corr,
exp_acyclic_depvary_step3_batch_yyy02.pl,b4,no,1.12,no,corr,
exp_acyclic_depvary_step3_batch_yyy02.pl,c2,yes,1.11,yes,corr,
exp_acyclic_depvary_step3_batch_yyy02.pl,r5,no,1.18,no,corr,
exp_acyclic_depvary_step3_batch_yyy02.pl,r1,yes,1.26,yes,corr,4
exp_acyclic_depvary_step3_batch_yyy02.pl,p2,yes,1.3,yes,corr,5
exp_acyclic_depvary_step3_batch_yyy02.pl,e2,yes,1.71,yes,corr,16
exp_acyclic_depvary_step3_batch_yyy02.pl,d1,yes,1.38,yes,corr,9
exp_acyclic_depvary_step3_batch_yyy02.pl,q1,no,1.36,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,p4,no,2.36,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,u4,no,1.16,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,z1,no,1.16,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,c6,no,1.21,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,y1,no,1.23,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,y2,no,1.13,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,e2,no,1.29,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,r3,no,1.22,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,f2,no,1.3,no,corr,
exp_acyclic_depvary_step3_batch_yyy03.pl,q2,no,1.32,no,corr,
exp_acyclic_depvary_step3_batch_yyy04.pl,t5,no,1.19,no,corr,
exp_acyclic_depvary_step3_batch_yyy04.pl,s4,no,1.11,no,corr,
exp_acyclic_depvary_step3_batch_yyy04.pl,u4,no,1.13,no,corr,
