goal,instance,verdict,duration
u2,exp_acyclic_depvary_step2_batch_yyy04.pl,no,0.003
b2,exp_acyclic_depvary_step2_batch_yyy05.pl,no,0.003
y4,exp_acyclic_depvary_step2_batch_yyy05.pl,no,0.004
e1,exp_acyclic_depvary_step2_batch_yyy05.pl,yes,0.003
f1,exp_acyclic_depvary_step2_batch_yyy05.pl,yes,0.004
w5,exp_acyclic_depvary_step2_batch_yyy05.pl,no,0.002
q4,exp_acyclic_depvary_step2_batch_yyy05.pl,no,0.002
y3,exp_acyclic_depvary_step2_batch_yyy05.pl,no,0.003
f4,exp_acyclic_depvary_step2_batch_yyy05.pl,no,0.004
z1,exp_acyclic_depvary_step2_batch_yyy05.pl,yes,0.003
b1,exp_acyclic_depvary_step2_batch_yyy05.pl,yes,0.002
c3,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.003
u1,exp_acyclic_depvary_step2_batch_yyy06.pl,yes,0.003
d3,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.003
q4,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.002
x2,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.003
x5,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.003
a1,exp_acyclic_depvary_step2_batch_yyy06.pl,yes,0.004
x4,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.003
p5,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.002
x3,exp_acyclic_depvary_step2_batch_yyy06.pl,no,0.002
d5,exp_acyclic_depvary_step2_batch_yyy07.pl,no,0.002
f1,exp_acyclic_depvary_step2_batch_yyy07.pl,yes,0.002
w5,exp_acyclic_depvary_step2_batch_yyy07.pl,no,0.002
y3,exp_acyclic_depvary_step2_batch_yyy07.pl,no,0.002
x1,exp_acyclic_depvary_step2_batch_yyy07.pl,yes,0.003
f2,exp_acyclic_depvary_step2_batch_yyy07.pl,no,0.003
c5,exp_acyclic_depvary_step2_batch_yyy07.pl,no,0.003
a5,exp_acyclic_depvary_step2_batch_yyy07.pl,no,0.003
d1,exp_acyclic_depvary_step2_batch_yyy07.pl,no,0.003
t1,exp_acyclic_depvary_step2_batch_yyy07.pl,yes,0.002
s3,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.003
x3,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.002
s5,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.002
p3,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.002
d2,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.002
z3,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.002
y2,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.003
c6,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.002
z2,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.003
b5,exp_acyclic_depvary_step2_batch_yyy08.pl,no,0.003
u5,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.003
t4,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.002
b2,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.003
b3,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.003
p4,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.003
b4,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.002
z1,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.002
w4,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.002
d1,exp_acyclic_depvary_step2_batch_yyy09.pl,yes,0.002
x4,exp_acyclic_depvary_step2_batch_yyy09.pl,no,0.002
u5,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.002
d4,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.002
t3,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.004
v4,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.003
f4,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.003
r2,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,0.003
v2,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.003
e1,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.003
s1,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,0.002
d2,exp_acyclic_depvary_step2_batch_yyy10.pl,no,0.002
u1,exp_acyclic_depvary_step3_batch_yyy01.pl,yes,0.003
c2,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0.003
a4,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0.004
y1,exp_acyclic_depvary_step3_batch_yyy01.pl,yes,0.005
q1,exp_acyclic_depvary_step3_batch_yyy01.pl,yes,0.004
a2,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0.004
s5,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0.003
b4,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0.004
z3,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0.004
a3,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0.003
d5,exp_acyclic_depvary_step3_batch_yyy02.pl,no,0.004
z5,exp_acyclic_depvary_step3_batch_yyy02.pl,no,0.003
b4,exp_acyclic_depvary_step3_batch_yyy02.pl,no,0.004
c2,exp_acyclic_depvary_step3_batch_yyy02.pl,yes,0.007
r5,exp_acyclic_depvary_step3_batch_yyy02.pl,no,0.006
r1,exp_acyclic_depvary_step3_batch_yyy02.pl,yes,0.007
p2,exp_acyclic_depvary_step3_batch_yyy02.pl,yes,0.004
e2,exp_acyclic_depvary_step3_batch_yyy02.pl,yes,0.004
d1,exp_acyclic_depvary_step3_batch_yyy02.pl,yes,0.004
q1,exp_acyclic_depvary_step3_batch_yyy02.pl,no,0.005
p4,exp_acyclic_depvary_step3_batch_yyy03.pl,no,0.005
