id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min,is_trivial
132,exp_acyclic_depvary_step1_batch_yyy04.pl,p3,no,0.42,no,corr,0.0,None,None,None,yes
133,exp_acyclic_depvary_step1_batch_yyy04.pl,v4,no,0.34,no,corr,0.0,None,None,None,yes
134,exp_acyclic_depvary_step1_batch_yyy04.pl,r1,yes,0.24,yes,corr,2.0,None,None,None,no
135,exp_acyclic_depvary_step1_batch_yyy04.pl,a3,no,0.3,no,corr,0.0,None,None,None,yes
136,exp_acyclic_depvary_step1_batch_yyy04.pl,p1,yes,0.5,yes,corr,1.0,None,None,None,no
137,exp_acyclic_depvary_step1_batch_yyy04.pl,p5,no,0.17,no,corr,0.0,None,None,None,yes
138,exp_acyclic_depvary_step1_batch_yyy04.pl,x3,no,0.22,no,corr,0.0,None,None,None,yes
139,exp_acyclic_depvary_step1_batch_yyy04.pl,r2,no,0.38,no,corr,0.0,None,None,None,yes
140,exp_acyclic_depvary_step1_batch_yyy04.pl,b6,no,0.33,no,corr,0.0,None,None,None,yes
141,exp_acyclic_depvary_step1_batch_yyy05.pl,v2,no,0.26,no,corr,0.0,None,None,None,yes
142,exp_acyclic_depvary_step1_batch_yyy05.pl,x3,no,0.24,no,corr,0.0,None,None,None,yes
143,exp_acyclic_depvary_step1_batch_yyy05.pl,f1,no,0.49,no,corr,1.0,None,None,None,no
144,exp_acyclic_depvary_step1_batch_yyy05.pl,q5,no,0.62,no,corr,0.0,None,None,None,yes
145,exp_acyclic_depvary_step1_batch_yyy05.pl,w4,no,0.57,no,corr,0.0,None,None,None,yes
146,exp_acyclic_depvary_step1_batch_yyy05.pl,x5,no,0.59,no,corr,0.0,None,None,None,yes
147,exp_acyclic_depvary_step1_batch_yyy05.pl,y2,no,0.51,no,corr,0.0,None,None,None,yes
148,exp_acyclic_depvary_step1_batch_yyy05.pl,q2,no,0.52,no,corr,0.0,None,None,None,yes
149,exp_acyclic_depvary_step1_batch_yyy05.pl,v4,no,0.28,no,corr,0.0,None,None,None,yes
150,exp_acyclic_depvary_step1_batch_yyy05.pl,e3,no,0.22,no,corr,0.0,None,None,None,yes
151,exp_acyclic_depvary_step1_batch_yyy06.pl,b2,no,0.26,no,corr,0.0,None,None,None,yes
152,exp_acyclic_depvary_step1_batch_yyy06.pl,w5,no,0.22,no,corr,0.0,None,None,None,yes
153,exp_acyclic_depvary_step1_batch_yyy06.pl,s5,no,0.32,no,corr,0.0,None,None,None,yes
154,exp_acyclic_depvary_step1_batch_yyy06.pl,q4,no,0.22,no,corr,0.0,None,None,None,yes
155,exp_acyclic_depvary_step1_batch_yyy06.pl,w4,no,0.22,no,corr,0.0,None,None,None,yes
156,exp_acyclic_depvary_step1_batch_yyy06.pl,r4,no,0.42,no,corr,0.0,None,None,None,yes
157,exp_acyclic_depvary_step1_batch_yyy06.pl,b6,no,0.34,no,corr,0.0,None,None,None,yes
158,exp_acyclic_depvary_step1_batch_yyy06.pl,d1,yes,0.32,yes,corr,0.0,None,None,None,no
159,exp_acyclic_depvary_step1_batch_yyy06.pl,z1,no,0.48,no,corr,0.0,None,None,None,yes
